id,id1,area,city,minimum,max_price,avg_price,avg_growth,type
34,34,Mahindra World City,chennai,3500,4200,4095,50.1,Ground
12,12,navallur,chennai,3000,10152,5811,49.1,Ground
33,33,West  Tambaram,chennai,2999,5455,5228,42.1,Ground
36,36,Veppampattu,chennai,3500,3500,3500,39.3,Ground
17,17,pallavaram,chennai,3672,59088,26515,32.2,Ground
8,8,Porur,chennai,3166,45000,30624,25.4,Ground
15,15,urapakkam,chennai,2642,5184,4960,24.6,Ground
4,4,Guduvancheri,chennai,2195,36000,31337,23,Ground
10,10,madipakkam,chennai,2697,42503,27013,22.9,Ground
18,18,nungambakkam,chennai,2100,29166,24149,19.9,Ground
7,7, Thoraipakkam OMR,chennai,3695,80000,42873,19.3,Ground
32,32,velapadi,vellore,5500,7000,6000,18.6,Ground
30,30,Katpadi,vellore,6500,8000,7348,18.5,Ground
38,38,Puzhal,chennai,3500,4000,3700,17.8,Ground
19,19,kolathur,chennai,3569,7199,7029,17,Ground
13,13,velachery,chennai,3991,11450,9052,16.5,Ground
28,28,Green circle,vellore,10000,15000,12640,16.2,Ground
29,29,Sathuvachari,vellore,8453,10500,9674,15.8,Ground
3,3,Chengalpattu,chennai,3000,5000,4224,15.1,Ground
26,26,Gandhi road,vellore,15000,20000,17000,14,Ground
27,27,Long bazar,vellore,13000,20000,16000,14,Ground
16,16,Perambur,chennai,3536,7880,7596,12.9,Ground
35,35,Chettipunnivam,chennai,2985,3400,3241,12,Ground
2,2,Padur,chennai,1736,13633,9232,9.7,Ground
37,37,Kelambakkam Vandalur Highway,chennai,3399,4200,3700,9.5,Ground
9,9,maraimalai nagar,chennai,2899,42502,38433,8.1,Ground
22,22,chrompet,chennai,3333,65000,13679,5.3,Ground
21,21,madambakkam,chennai,3400,5000,4650,5,Ground
25,25,avadi,chennai,2750,5042,4500,5,Ground
31,31,Vit road,vellore,3500,4500,4000,3.4,Ground
20,20,omr road,chennai,1951,61254,43503,-2.4,Ground
24,24,poonamallee,chennai,2444,36286,25982,-3.6,Ground
14,14,pallikaranai,chennai,2600,47500,21784,-4.1,Ground
5,5,Sholinganallur,chennai,2906,57500,26034,-4.2,Ground
23,23,oragadam,chennai,3230,4695,4053,-9.2,Ground
6,6,Medavakkam,chennai,3959,35330,11814,-17.3,Ground
11,11,mogappair,chennai,905,9167,7808,-20.3,Ground
1,1,Kelambakkam,chennai,1692,6400,5413,-30.1,Ground
